,Salary,SalaryType,YearsCoding,YearsCodingProf,Currency,SalaryUSD
46248,137000.0,Yearly,18-20 years,15-17 years,U.S. dollars ($),137000.0
46249,3300.0,Monthly,3-5 years,0-2 years,Euros (€),42372.0
46251,50000.0,Yearly,6-8 years,0-2 years,U.S. dollars ($),50000.0
46252,2200.0,Monthly,12-14 years,6-8 years,Euros (€),28248.0
46254,43200.0,Yearly,6-8 years,3-5 years,Euros (€),46224.0
46255,3250.0,Monthly,3-5 years,3-5 years,Euros (€),41730.0
46259,37000.0,Yearly,6-8 years,0-2 years,British pounds sterling (£),45880.0
46260,3700.0,Monthly,9-11 years,3-5 years,Euros (€),47508.00000000001
46262,825.0,Monthly,6-8 years,0-2 years,Euros (€),10593.0
46263,78000.0,Yearly,3-5 years,3-5 years,U.S. dollars ($),78000.0
46264,2500.0,Monthly,21-23 years,15-17 years,Euros (€),32100.0
46269,100000.0,Yearly,18-20 years,3-5 years,Swiss francs,110000.00000000001
46270,80000.0,Yearly,15-17 years,9-11 years,Canadian dollars (C$),58400.0
46271,49000.0,Yearly,15-17 years,9-11 years,Euros (€),52430.0
46274,24000.0,Monthly,9-11 years,3-5 years,Euros (€),308160.0
46277,96000.0,Yearly,6-8 years,6-8 years,U.S. dollars ($),96000.0
46278,500.0,Monthly,3-5 years,3-5 years,U.S. dollars ($),6000.0
46280,49000.0,Yearly,9-11 years,6-8 years,Euros (€),52430.0
46284,110000.0,Yearly,18-20 years,9-11 years,Canadian dollars (C$),80300.0
46286,37000.0,Yearly,3-5 years,3-5 years,Euros (€),39590.0
46287,2000.0,Monthly,15-17 years,0-2 years,U.S. dollars ($),24000.0
46288,60000.0,Yearly,12-14 years,9-11 years,U.S. dollars ($),60000.0
46289,120000.0,Yearly,12-14 years,3-5 years,Canadian dollars (C$),87600.0
46290,27000.0,Monthly,0-2 years,0-2 years,Swedish kroner (SEK),29808.0
46291,25000.0,Monthly,0-2 years,0-2 years,Indian rupees (₹),3600.0
46293,420000.0,Yearly,3-5 years,3-5 years,Indian rupees (₹),5040.0
46296,2200.0,Monthly,24-26 years,15-17 years,Euros (€),28248.0
46299,5000.0,Monthly,12-14 years,6-8 years,U.S. dollars ($),60000.0
46300,35000.0,Yearly,15-17 years,9-11 years,Euros (€),37450.0
46302,3000.0,Monthly,6-8 years,3-5 years,Canadian dollars (C$),26280.0
46304,83000.0,Monthly,9-11 years,6-8 years,U.S. dollars ($),996000.0
46306,80000.0,Yearly,24-26 years,18-20 years,Euros (€),85600.0
46307,55000.0,Weekly,0-2 years,0-2 years,U.S. dollars ($),2860000.0
46308,120000.0,Yearly,9-11 years,3-5 years,U.S. dollars ($),120000.0
46309,3000.0,Monthly,6-8 years,3-5 years,Swiss francs,39600.00000000001
46311,2000.0,Monthly,21-23 years,15-17 years,Euros (€),25680.0
46312,5000.0,Monthly,21-23 years,18-20 years,Euros (€),64200.0
46313,180000.0,Yearly,21-23 years,15-17 years,U.S. dollars ($),180000.0
46316,125000.0,Monthly,12-14 years,12-14 years,Russian rubles (₽),16500.0
46323,4.0,Yearly,15-17 years,15-17 years,Bitcoin (btc),267834.4
46324,5000.0,Monthly,9-11 years,6-8 years,Euros (€),64200.0
46325,750000.0,Yearly,30 or more years,30 or more years,Norwegian krone (kr),68250.0
46328,95000.0,Yearly,12-14 years,6-8 years,U.S. dollars ($),95000.0
46329,2300.0,Monthly,6-8 years,3-5 years,Euros (€),29532.0
46330,120000.0,Yearly,15-17 years,12-14 years,U.S. dollars ($),120000.0
46331,60000.0,Yearly,6-8 years,0-2 years,Canadian dollars (C$),43800.0
46333,2000.0,Monthly,6-8 years,3-5 years,Euros (€),25680.0
46334,45000.0,Monthly,12-14 years,12-14 years,British pounds sterling (£),669600.0
46335,2800.0,Monthly,9-11 years,3-5 years,Euros (€),35952.0
46338,24000.0,Monthly,3-5 years,0-2 years,Mexican pesos (MXN$),16992.0
46339,130000.0,Yearly,6-8 years,6-8 years,U.S. dollars ($),130000.0
46340,55000.0,Yearly,6-8 years,6-8 years,U.S. dollars ($),55000.0
46341,28500.0,Yearly,6-8 years,0-2 years,British pounds sterling (£),35340.0
46342,100000.0,Yearly,12-14 years,6-8 years,U.S. dollars ($),100000.0
46347,1400000.0,Yearly,6-8 years,6-8 years,Indian rupees (₹),16800.0
46351,70000.0,Yearly,9-11 years,3-5 years,Australian dollars (A$),45500.0
46356,87000.0,Yearly,18-20 years,6-8 years,U.S. dollars ($),87000.0
46361,350000.0,Yearly,6-8 years,0-2 years,Chinese yuan renminbi (¥),49000.00000000001
46362,1700.0,Monthly,9-11 years,3-5 years,Euros (€),21828.0
46363,1900.0,Monthly,3-5 years,3-5 years,Euros (€),24396.000000000004
46364,12000.0,Monthly,0-2 years,3-5 years,Chinese yuan renminbi (¥),20160.000000000004
46367,117000.0,Yearly,15-17 years,6-8 years,U.S. dollars ($),117000.0
46371,1500.0,Monthly,3-5 years,3-5 years,Euros (€),19260.0
46375,450000.0,Yearly,3-5 years,3-5 years,Indian rupees (₹),5400.0
46381,8000.0,Monthly,9-11 years,9-11 years,Polish złoty (zł),24000.0
46382,60000.0,Yearly,6-8 years,0-2 years,Euros (€),64200.00000000001
46385,200000.0,Yearly,6-8 years,6-8 years,Chinese yuan renminbi (¥),28000.000000000004
46386,32000.0,Yearly,9-11 years,3-5 years,British pounds sterling (£),39680.0
46387,7.3,Monthly,3-5 years,0-2 years,Indian rupees (₹),1.0512
46388,292000.0,Monthly,12-14 years,9-11 years,Russian rubles (₽),38544.0
46390,125000.0,Yearly,30 or more years,24-26 years,U.S. dollars ($),125000.0
46391,65000.0,Yearly,6-8 years,0-2 years,U.S. dollars ($),65000.0
46393,110000.0,Yearly,18-20 years,12-14 years,Swiss francs,121000.00000000001
46397,75000.0,Yearly,3-5 years,3-5 years,U.S. dollars ($),75000.0
46399,36000.0,Monthly,15-17 years,9-11 years,Swedish kroner (SEK),39744.0
46402,62000.0,Yearly,21-23 years,18-20 years,British pounds sterling (£),76880.0
46404,135000.0,Yearly,30 or more years,30 or more years,U.S. dollars ($),135000.0
46406,4000.0,Monthly,15-17 years,6-8 years,Euros (€),51360.0
46407,2800.0,Monthly,12-14 years,6-8 years,Euros (€),35952.0
46408,2475.6,Monthly,6-8 years,6-8 years,Brazilian reais (R$),5644.3679999999995
46412,105000.0,Yearly,6-8 years,3-5 years,Australian dollars (A$),68250.0
46415,4600.0,Monthly,12-14 years,3-5 years,Brazilian reais (R$),10488.0
46417,56000.0,Yearly,3-5 years,0-2 years,Euros (€),59920.0
46419,27000.0,Yearly,3-5 years,0-2 years,Euros (€),28890.0
46421,5075.0,Monthly,18-20 years,15-17 years,Euros (€),65163.0
46424,1200000.0,Monthly,6-8 years,6-8 years,Indian rupees (₹),172800.0
46429,37000.0,Yearly,6-8 years,3-5 years,British pounds sterling (£),45880.0
46431,45000.0,Monthly,0-2 years,0-2 years,British pounds sterling (£),669600.0
46433,130000.0,Yearly,24-26 years,21-23 years,Australian dollars (A$),84500.0
46435,90000.0,Yearly,9-11 years,6-8 years,Singapore dollars (S$),65700.0
46438,32000.0,Yearly,6-8 years,3-5 years,Euros (€),34240.0
46441,5000.0,Monthly,3-5 years,3-5 years,Euros (€),64200.0
46444,42000.0,Monthly,12-14 years,9-11 years,Danish krone (kr),70560.00000000001
46447,700000.0,Yearly,0-2 years,0-2 years,Indian rupees (₹),8400.0
46449,48000.0,Monthly,30 or more years,18-20 years,Swedish kroner (SEK),52992.0
46450,65000.0,Yearly,15-17 years,3-5 years,Australian dollars (A$),42250.0
46451,116000.0,Yearly,18-20 years,18-20 years,U.S. dollars ($),116000.0
46452,121000.0,Yearly,9-11 years,6-8 years,U.S. dollars ($),121000.0
46453,72000.0,Yearly,3-5 years,3-5 years,U.S. dollars ($),72000.0
46455,500000.0,Yearly,6-8 years,3-5 years,Indian rupees (₹),6000.0
46456,900.0,Monthly,12-14 years,0-2 years,Euros (€),11556.0
46457,12000.0,Monthly,15-17 years,9-11 years,Brazilian reais (R$),27360.0
46459,57000.0,Monthly,15-17 years,9-11 years,Russian rubles (₽),7524.0
46460,1180.0,Monthly,9-11 years,3-5 years,Euros (€),15151.2
46461,1360.0,Monthly,3-5 years,0-2 years,Swiss francs,17952.000000000004
46465,78000.0,Yearly,12-14 years,6-8 years,U.S. dollars ($),78000.0
46466,270000.0,Monthly,9-11 years,9-11 years,Russian rubles (₽),35640.0
46468,60000.0,Monthly,3-5 years,3-5 years,Indian rupees (₹),8640.0
46469,50000.0,Yearly,15-17 years,6-8 years,Euros (€),53500.0
46470,68000.0,Yearly,3-5 years,0-2 years,U.S. dollars ($),68000.0
46471,5200.0,Monthly,3-5 years,3-5 years,Euros (€),66768.0
46472,3600000.0,Yearly,12-14 years,9-11 years,Indian rupees (₹),43200.0
46473,55000.0,Yearly,0-2 years,0-2 years,U.S. dollars ($),55000.0
46474,150000.0,Monthly,18-20 years,12-14 years,Russian rubles (₽),19800.0
46475,90000.0,Yearly,27-29 years,21-23 years,U.S. dollars ($),90000.0
46480,400000.0,Yearly,3-5 years,0-2 years,Indian rupees (₹),4800.0
46481,120000.0,Yearly,21-23 years,21-23 years,U.S. dollars ($),120000.0
46487,94000.0,Yearly,3-5 years,0-2 years,U.S. dollars ($),94000.0
46488,92500.0,Yearly,6-8 years,3-5 years,U.S. dollars ($),92500.0
46490,2600.0,Monthly,18-20 years,15-17 years,Euros (€),33384.0
46491,1700.0,Monthly,12-14 years,3-5 years,Euros (€),21828.0
46500,70000.0,Yearly,15-17 years,15-17 years,Euros (€),74900.0
46501,1600.0,Monthly,6-8 years,0-2 years,Brazilian reais (R$),3648.0
46503,115000.0,Yearly,6-8 years,3-5 years,U.S. dollars ($),115000.0
46506,4300.0,Monthly,6-8 years,0-2 years,Swiss francs,56760.0
46507,115000.0,Yearly,24-26 years,21-23 years,Swiss francs,126500.00000000001
46508,35000.0,Monthly,6-8 years,0-2 years,Euros (€),449400.0
46511,700000.0,Yearly,6-8 years,6-8 years,Indian rupees (₹),8400.0
46513,7000.0,Monthly,15-17 years,6-8 years,Brazilian reais (R$),15960.0
46515,62500.0,Yearly,9-11 years,3-5 years,Euros (€),66875.0
46518,74000.0,Yearly,6-8 years,0-2 years,U.S. dollars ($),74000.0
46520,1000000.0,Yearly,6-8 years,0-2 years,Indian rupees (₹),12000.0
46521,70000.0,Yearly,9-11 years,3-5 years,U.S. dollars ($),70000.0
46522,108000.0,Weekly,18-20 years,18-20 years,U.S. dollars ($),5616000.0
46523,120000.0,Yearly,9-11 years,9-11 years,U.S. dollars ($),120000.0
46524,515000.0,Yearly,3-5 years,0-2 years,Indian rupees (₹),6180.0
46527,65000.0,Yearly,3-5 years,3-5 years,British pounds sterling (£),80600.0
46528,87000.0,Monthly,6-8 years,3-5 years,U.S. dollars ($),1044000.0
46529,60000.0,Yearly,18-20 years,18-20 years,British pounds sterling (£),74400.0
46532,60000.0,Yearly,3-5 years,3-5 years,U.S. dollars ($),60000.0
46534,25000.0,Monthly,6-8 years,3-5 years,Polish złoty (zł),75000.0
46535,131000.0,Yearly,3-5 years,3-5 years,U.S. dollars ($),131000.0
46538,65000.0,Yearly,21-23 years,21-23 years,British pounds sterling (£),80600.0
46539,150000.0,Monthly,15-17 years,9-11 years,U.S. dollars ($),1800000.0
46547,48000.0,Yearly,3-5 years,0-2 years,Euros (€),51360.0
46552,240000.0,Yearly,9-11 years,6-8 years,U.S. dollars ($),240000.0
46553,53000.0,Yearly,3-5 years,3-5 years,British pounds sterling (£),65720.0
46555,44000.0,Yearly,3-5 years,3-5 years,Euros (€),47080.0
46556,37000.0,Yearly,15-17 years,6-8 years,Euros (€),39590.0
46557,710.0,Monthly,3-5 years,0-2 years,Brazilian reais (R$),1618.8000000000002
46558,30000.0,Monthly,18-20 years,9-11 years,Mexican pesos (MXN$),21240.0
46562,65000.0,Yearly,21-23 years,18-20 years,Euros (€),69550.0
46563,25000.0,Monthly,3-5 years,0-2 years,U.S. dollars ($),300000.0
46564,150000.0,Yearly,18-20 years,18-20 years,U.S. dollars ($),150000.0
46566,73000.0,Monthly,3-5 years,3-5 years,Euros (€),937320.0
46571,30000.0,Yearly,0-2 years,0-2 years,Euros (€),32100.000000000004
46572,500.0,Monthly,6-8 years,3-5 years,U.S. dollars ($),6000.0
46573,100000.0,Yearly,15-17 years,9-11 years,U.S. dollars ($),100000.0
46575,120000.0,Yearly,12-14 years,9-11 years,Brazilian reais (R$),22800.0
46576,18000.0,Monthly,21-23 years,12-14 years,Polish złoty (zł),54000.0
46577,51313.0,Weekly,12-14 years,3-5 years,U.S. dollars ($),2668276.0
46578,3100.0,Monthly,30 or more years,12-14 years,Euros (€),39804.0
46579,43200.0,Yearly,3-5 years,3-5 years,Euros (€),46224.0
46583,103448.0,Monthly,0-2 years,0-2 years,Russian rubles (₽),13655.135999999999
46586,6000.0,Monthly,3-5 years,0-2 years,Danish krone (kr),10080.000000000002
46587,21.0,Monthly,6-8 years,0-2 years,Indian rupees (₹),3.024
46589,105000.0,Yearly,12-14 years,9-11 years,U.S. dollars ($),105000.0
46595,55000.0,Yearly,3-5 years,3-5 years,Euros (€),58850.0
46596,19300.0,Yearly,3-5 years,3-5 years,British pounds sterling (£),23932.0
46598,55000.0,Yearly,6-8 years,3-5 years,U.S. dollars ($),55000.0
46602,50000.0,Yearly,18-20 years,18-20 years,Euros (€),53500.0
46608,54000.0,Yearly,30 or more years,15-17 years,Euros (€),57780.0
46611,30000.0,Yearly,6-8 years,3-5 years,Euros (€),32100.000000000004
46612,1400.0,Monthly,3-5 years,0-2 years,Brazilian reais (R$),3192.0
46614,22000.0,Yearly,6-8 years,3-5 years,British pounds sterling (£),27280.0
46615,4400.0,Monthly,15-17 years,12-14 years,Euros (€),56496.0
46617,3800.0,Monthly,12-14 years,6-8 years,Euros (€),48792.00000000001
46622,91000.0,Yearly,24-26 years,18-20 years,U.S. dollars ($),91000.0
46625,135000.0,Weekly,9-11 years,3-5 years,U.S. dollars ($),7020000.0
46626,115000.0,Yearly,3-5 years,3-5 years,U.S. dollars ($),115000.0
46627,118000.0,Yearly,12-14 years,9-11 years,U.S. dollars ($),118000.0
46630,87000.0,Yearly,12-14 years,9-11 years,U.S. dollars ($),87000.0
46631,50000.0,Yearly,9-11 years,6-8 years,Euros (€),53500.0
46633,30000.0,Yearly,3-5 years,0-2 years,U.S. dollars ($),30000.0
46638,6500.0,Monthly,6-8 years,6-8 years,Canadian dollars (C$),56940.0
46643,50000.0,Yearly,3-5 years,0-2 years,U.S. dollars ($),50000.0
46644,71000.0,Yearly,21-23 years,12-14 years,Euros (€),75970.0
46645,4300.0,Monthly,9-11 years,6-8 years,Euros (€),55212.0
46648,50064.0,Yearly,15-17 years,12-14 years,Euros (€),53568.48
46650,50000.0,Yearly,3-5 years,3-5 years,U.S. dollars ($),50000.0
46652,420000.0,Yearly,3-5 years,0-2 years,Indian rupees (₹),5040.0
46654,78500.0,Yearly,3-5 years,3-5 years,U.S. dollars ($),78500.0
46655,80000.0,Yearly,6-8 years,3-5 years,U.S. dollars ($),80000.0
46661,75000.0,Yearly,3-5 years,0-2 years,U.S. dollars ($),75000.0
46663,52000.0,Yearly,0-2 years,0-2 years,U.S. dollars ($),52000.0
46665,65000.0,Yearly,6-8 years,3-5 years,Canadian dollars (C$),47450.0
46671,51250.0,Weekly,0-2 years,0-2 years,U.S. dollars ($),2665000.0
46672,180000.0,Yearly,30 or more years,24-26 years,U.S. dollars ($),180000.0
46677,1000.0,Monthly,6-8 years,3-5 years,U.S. dollars ($),12000.0
46679,252000.0,Monthly,3-5 years,0-2 years,Indian rupees (₹),36288.0
46680,1200.0,Monthly,6-8 years,0-2 years,Euros (€),15408.0
46682,1400000.0,Yearly,6-8 years,6-8 years,Indian rupees (₹),16800.0
46684,24000.0,Yearly,3-5 years,0-2 years,British pounds sterling (£),29760.0
46685,17330.0,Monthly,6-8 years,0-2 years,Swedish kroner (SEK),19132.32
46686,2300.0,Monthly,0-2 years,0-2 years,Euros (€),29532.0
46687,73000.0,Yearly,9-11 years,9-11 years,U.S. dollars ($),73000.0
46689,260000.0,Yearly,12-14 years,6-8 years,Polish złoty (zł),65000.0
46690,37500.0,Yearly,9-11 years,9-11 years,British pounds sterling (£),46500.0
46691,5000.0,Monthly,18-20 years,12-14 years,Euros (€),64200.0
46693,42000.0,Yearly,6-8 years,3-5 years,British pounds sterling (£),52080.0
46694,70000.0,Monthly,6-8 years,3-5 years,Russian rubles (₽),9240.0
46698,110000.0,Yearly,12-14 years,9-11 years,U.S. dollars ($),110000.0
46700,49000.0,Yearly,3-5 years,3-5 years,U.S. dollars ($),49000.0
46701,50173.0,Yearly,6-8 years,6-8 years,British pounds sterling (£),62214.52
46702,1300.0,Monthly,3-5 years,0-2 years,Euros (€),16692.0
46703,28000.0,Monthly,3-5 years,3-5 years,Indian rupees (₹),4032.0
46710,72000.0,Yearly,3-5 years,0-2 years,U.S. dollars ($),72000.0
46711,60000.0,Monthly,3-5 years,0-2 years,Indian rupees (₹),8640.0
46712,65500.0,Yearly,6-8 years,3-5 years,U.S. dollars ($),65500.0
46713,125000.0,Yearly,9-11 years,3-5 years,U.S. dollars ($),125000.0
46716,9104.17,Monthly,12-14 years,9-11 years,Australian dollars (A$),71012.526
46717,3700.0,Monthly,9-11 years,9-11 years,U.S. dollars ($),44400.0
46724,1000.0,Monthly,6-8 years,0-2 years,Euros (€),12840.0
46727,41000.0,Monthly,30 or more years,30 or more years,British pounds sterling (£),610080.0
46728,28000.0,Weekly,6-8 years,3-5 years,Japanese yen (¥),9464.0
46729,92500.0,Yearly,3-5 years,3-5 years,U.S. dollars ($),92500.0
46730,45000.0,Yearly,0-2 years,0-2 years,Euros (€),48150.0
46731,11000.0,Monthly,27-29 years,21-23 years,Polish złoty (zł),33000.0
46733,2400.0,Monthly,18-20 years,15-17 years,Euros (€),30816.0
46735,2800.0,Monthly,9-11 years,3-5 years,Euros (€),35952.0
46744,70000.0,Yearly,9-11 years,9-11 years,U.S. dollars ($),70000.0
46746,39000.0,Yearly,15-17 years,12-14 years,U.S. dollars ($),39000.0
46747,80000.0,Yearly,6-8 years,0-2 years,U.S. dollars ($),80000.0
46752,60000.0,Yearly,15-17 years,6-8 years,Euros (€),64200.00000000001
46753,172000.0,Yearly,18-20 years,12-14 years,U.S. dollars ($),172000.0
46754,1500.0,Weekly,3-5 years,0-2 years,U.S. dollars ($),78000.0
46759,2000.0,Monthly,15-17 years,6-8 years,Euros (€),25680.0
46760,145000.0,Yearly,21-23 years,21-23 years,U.S. dollars ($),145000.0
46761,70000.0,Monthly,0-2 years,0-2 years,Russian rubles (₽),9240.0
46763,3600.0,Monthly,18-20 years,9-11 years,British pounds sterling (£),53568.0
46764,105000.0,Yearly,6-8 years,3-5 years,U.S. dollars ($),105000.0
46766,4000.0,Monthly,3-5 years,0-2 years,U.S. dollars ($),48000.0
46769,46592.0,Yearly,3-5 years,0-2 years,U.S. dollars ($),46592.0
46770,400.0,Monthly,3-5 years,3-5 years,U.S. dollars ($),4800.0
46773,23900.0,Monthly,3-5 years,0-2 years,Indian rupees (₹),3441.6000000000004
46777,32000.0,Monthly,9-11 years,9-11 years,Mexican pesos (MXN$),22656.0
46778,4300.0,Monthly,9-11 years,9-11 years,Euros (€),55212.0
46779,65000.0,Yearly,12-14 years,9-11 years,Euros (€),69550.0
46781,42000.0,Yearly,6-8 years,3-5 years,British pounds sterling (£),52080.0
46790,40000.0,Monthly,12-14 years,6-8 years,Swedish kroner (SEK),44160.0
46791,80000.0,Yearly,3-5 years,0-2 years,U.S. dollars ($),80000.0
46792,60000.0,Yearly,9-11 years,6-8 years,Euros (€),64200.00000000001
46795,1400.0,Monthly,3-5 years,3-5 years,Swiss francs,18480.000000000004
46797,2850.0,Monthly,6-8 years,3-5 years,Euros (€),36594.0
46802,75000.0,Yearly,30 or more years,9-11 years,U.S. dollars ($),75000.0
46803,78083.0,Monthly,6-8 years,3-5 years,Indian rupees (₹),11243.952
46804,895.0,Monthly,6-8 years,0-2 years,British pounds sterling (£),13317.599999999999
46805,40000.0,Monthly,15-17 years,9-11 years,Euros (€),513600.0
46806,120000.0,Yearly,15-17 years,9-11 years,U.S. dollars ($),120000.0
46807,106900.0,Yearly,21-23 years,18-20 years,U.S. dollars ($),106900.0
46808,1000.0,Monthly,6-8 years,0-2 years,U.S. dollars ($),12000.0
46809,80000.0,Yearly,21-23 years,18-20 years,U.S. dollars ($),80000.0
46810,110000.0,Yearly,18-20 years,12-14 years,Swiss francs,121000.00000000001
46814,114500.0,Yearly,12-14 years,9-11 years,Australian dollars (A$),74425.0
46815,150.0,Weekly,3-5 years,0-2 years,Euros (€),8346.0
46818,50000.0,Yearly,21-23 years,18-20 years,U.S. dollars ($),50000.0
46827,2100.0,Monthly,12-14 years,6-8 years,Canadian dollars (C$),18396.0
46829,5200.0,Monthly,3-5 years,3-5 years,Brazilian reais (R$),11856.0
46831,60000.0,Monthly,6-8 years,6-8 years,Mexican pesos (MXN$),42480.0
46839,137000.0,Yearly,3-5 years,3-5 years,U.S. dollars ($),137000.0
46843,37500.0,Monthly,18-20 years,6-8 years,Danish krone (kr),63000.000000000015
46850,172500.0,Monthly,12-14 years,9-11 years,Russian rubles (₽),22770.0
46852,70000.0,Yearly,6-8 years,3-5 years,U.S. dollars ($),70000.0
46860,300000.0,Yearly,3-5 years,0-2 years,Indian rupees (₹),3600.0
46861,2708.0,Monthly,6-8 years,0-2 years,Euros (€),34770.72
46863,506000.0,Yearly,18-20 years,18-20 years,U.S. dollars ($),506000.0
46869,56000.0,Yearly,21-23 years,18-20 years,Euros (€),59920.0
46873,5200.0,Monthly,3-5 years,3-5 years,U.S. dollars ($),62400.0
46875,40000.0,Yearly,6-8 years,6-8 years,Euros (€),42800.0
46878,55000.0,Yearly,6-8 years,3-5 years,Euros (€),58850.0
46879,80000.0,Yearly,24-26 years,24-26 years,British pounds sterling (£),99200.0
46880,145000.0,Yearly,12-14 years,9-11 years,U.S. dollars ($),145000.0
46882,120000.0,Yearly,9-11 years,12-14 years,U.S. dollars ($),120000.0
46883,140000.0,Yearly,3-5 years,3-5 years,U.S. dollars ($),140000.0
46886,25000.0,Yearly,3-5 years,3-5 years,U.S. dollars ($),25000.0
46890,62000.0,Yearly,3-5 years,3-5 years,U.S. dollars ($),62000.0
46893,61600.0,Yearly,15-17 years,9-11 years,Euros (€),65912.0
46897,80000.0,Yearly,12-14 years,9-11 years,Euros (€),85600.0
46899,36000.0,Yearly,3-5 years,3-5 years,British pounds sterling (£),44640.0
46902,800000.0,Yearly,3-5 years,0-2 years,Indian rupees (₹),9600.0
46907,129000.0,Yearly,15-17 years,12-14 years,U.S. dollars ($),129000.0
46908,145000.0,Yearly,21-23 years,12-14 years,U.S. dollars ($),145000.0
46909,600.0,Monthly,3-5 years,3-5 years,Euros (€),7704.0
46910,80000.0,Yearly,15-17 years,9-11 years,Euros (€),85600.0
46912,45000.0,Yearly,12-14 years,3-5 years,Euros (€),48150.0
46913,750000.0,Monthly,0-2 years,0-2 years,Indian rupees (₹),108000.0
46914,63000.0,Yearly,3-5 years,3-5 years,U.S. dollars ($),63000.0
46916,142000.0,Yearly,12-14 years,6-8 years,U.S. dollars ($),142000.0
46918,35000.0,Yearly,0-2 years,0-2 years,Euros (€),37450.0
46919,95000.0,Yearly,18-20 years,6-8 years,U.S. dollars ($),95000.0
46923,56000.0,Yearly,3-5 years,0-2 years,U.S. dollars ($),56000.0
46926,32000.0,Yearly,0-2 years,0-2 years,U.S. dollars ($),32000.0
46928,2960.0,Monthly,15-17 years,9-11 years,Euros (€),38006.4
46930,5200.0,Monthly,3-5 years,0-2 years,Polish złoty (zł),15600.0
46932,65000.0,Yearly,12-14 years,6-8 years,U.S. dollars ($),65000.0
46933,62500.0,Monthly,9-11 years,9-11 years,Euros (€),802500.0
46935,105000.0,Yearly,27-29 years,24-26 years,U.S. dollars ($),105000.0
46936,52000.0,Yearly,6-8 years,3-5 years,U.S. dollars ($),52000.0
46937,2000.0,Monthly,24-26 years,21-23 years,Euros (€),25680.0
46938,1000000.0,Yearly,6-8 years,3-5 years,Swiss francs,1100000.0
46940,25000.0,Yearly,3-5 years,0-2 years,Euros (€),26750.0
46942,58000.0,Monthly,6-8 years,3-5 years,U.S. dollars ($),696000.0
46944,94000.0,Yearly,18-20 years,18-20 years,U.S. dollars ($),94000.0
46947,138000.0,Yearly,18-20 years,18-20 years,U.S. dollars ($),138000.0
46948,62000.0,Yearly,30 or more years,30 or more years,U.S. dollars ($),62000.0
46950,50000.0,Yearly,0-2 years,0-2 years,U.S. dollars ($),50000.0
46953,61000.0,Yearly,18-20 years,6-8 years,Euros (€),65270.00000000001
46955,1789.0,Monthly,3-5 years,0-2 years,Canadian dollars (C$),15671.64
46956,7800.0,Monthly,3-5 years,3-5 years,U.S. dollars ($),93600.0
46963,15000.0,Monthly,3-5 years,0-2 years,Indian rupees (₹),2160.0
46965,4050.0,Monthly,21-23 years,12-14 years,Euros (€),52002.0
46967,78000.0,Yearly,9-11 years,6-8 years,U.S. dollars ($),78000.0
46968,42000.0,Yearly,18-20 years,6-8 years,British pounds sterling (£),52080.0
46970,100000.0,Monthly,6-8 years,3-5 years,Russian rubles (₽),13200.0
46971,120000.0,Yearly,9-11 years,9-11 years,U.S. dollars ($),120000.0
46972,130000.0,Yearly,6-8 years,3-5 years,U.S. dollars ($),130000.0
46973,4400.0,Monthly,9-11 years,6-8 years,Euros (€),56496.0
46976,185000.0,Yearly,18-20 years,18-20 years,U.S. dollars ($),185000.0
46977,3300.0,Monthly,3-5 years,0-2 years,Canadian dollars (C$),28908.0
46980,2200.0,Monthly,6-8 years,0-2 years,Euros (€),28248.0
46983,63000.0,Yearly,21-23 years,18-20 years,U.S. dollars ($),63000.0
46987,38300.0,Yearly,3-5 years,3-5 years,British pounds sterling (£),47492.0
46990,700.0,Monthly,0-2 years,0-2 years,Euros (€),8988.0
46991,125000.0,Yearly,3-5 years,3-5 years,U.S. dollars ($),125000.0
46993,1650.0,Weekly,21-23 years,15-17 years,Euros (€),91806.0
46995,144000.0,Yearly,18-20 years,18-20 years,U.S. dollars ($),144000.0
46997,450000.0,Yearly,6-8 years,3-5 years,South African rands (R),23400.0
46998,36500.0,Yearly,21-23 years,21-23 years,British pounds sterling (£),45260.0
47000,28000.0,Yearly,3-5 years,0-2 years,British pounds sterling (£),34720.0
47001,5400.0,Monthly,9-11 years,3-5 years,Swiss francs,71280.00000000001
47002,124000.0,Yearly,30 or more years,27-29 years,U.S. dollars ($),124000.0
47004,800.0,Monthly,24-26 years,0-2 years,U.S. dollars ($),9600.0
47005,117000.0,Yearly,3-5 years,3-5 years,U.S. dollars ($),117000.0
47006,35000.0,Yearly,6-8 years,3-5 years,British pounds sterling (£),43400.0
47008,1900.0,Monthly,9-11 years,3-5 years,Euros (€),24396.000000000004
47013,15000.0,Monthly,0-2 years,0-2 years,South African rands (R),9360.0
47015,110000.0,Yearly,9-11 years,6-8 years,U.S. dollars ($),110000.0
47016,85000.0,Yearly,6-8 years,6-8 years,U.S. dollars ($),85000.0
47025,101000.0,Yearly,15-17 years,15-17 years,Euros (€),108070.0
47026,155000.0,Yearly,9-11 years,9-11 years,U.S. dollars ($),155000.0
47027,50000.0,Monthly,21-23 years,21-23 years,South African rands (R),31200.0
47029,3300.0,Monthly,15-17 years,9-11 years,Brazilian reais (R$),7524.0
47032,98000.0,Yearly,18-20 years,9-11 years,U.S. dollars ($),98000.0
47034,47000.0,Monthly,21-23 years,18-20 years,Swedish kroner (SEK),51888.0
47037,375000.0,Monthly,6-8 years,3-5 years,Japanese yen (¥),29250.0
